Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Curcuma aromatica,rhizome,IMPHY011643,alpha-Terpinene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY011658,beta-Farnesene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY011668,beta-Santalene,DOI:10.1002/ffj.2730040106
Curcuma aromatica,rhizome,IMPHY011745,Zingiberene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY011761,Humulene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY011793,(+)-gamma-Cadinene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY011797,Oleic acid,ISBN:9770972795006
Curcuma aromatica,rhizome,IMPHY011817,alpha-Farnesene,DOI:10.1080/0972060x.2014.908746
Curcuma aromatica,rhizome,IMPHY011902,beta-Thujone,DOI:10.1002/ffj.2730040106
Curcuma aromatica,rhizome,IMPHY011957,(+)-delta-Cadinene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY011973,(-)-cis-Carveol,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY011977,Epicurzerenone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY012036,Camphor,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY012058,Linalool,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY012060,(+)-Camphene,"ISBN:9780387706375, ISBN:9788172362133"
Curcuma aromatica,rhizome,IMPHY012061,alpha-Pinene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY012075,Carvone,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY012147,beta-Pinene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY012160,alpha-Terpineol,"DOI:10.1002/ffj.2730040106,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY012165,Sabinene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY012261,alpha-Bergamotene,DOI:10.1002/ffj.2730040106
Curcuma aromatica,rhizome,IMPHY012279,alpha-Curcumene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042145"
Curcuma aromatica,rhizome,IMPHY012381,ar-Turmerone,"DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY012589,"3-(1,5-Dimethyl-4-hexenyl)-6-methylene-1-cyclohexene","DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY012667,Caryophyllene oxide,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY012907,trans-Sesquisabinene hydrate,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY012921,gamma-Elemene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY013093,delta-Elemene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746"
Curcuma aromatica,rhizome,IMPHY014699,D-Camphor,"ISBN:9780387706375, ISBN:9788172362133"
Curcuma aromatica,rhizome,IMPHY014802,alpha-Atlantone,DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY014811,alpha-Phellandrene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY014817,Aromadendrene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY014831,beta-Caryophyllene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY014835,(E)-beta-ocimene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY014836,beta-Sitosterol,ISBN:9770972795006
